# Wavenumber/cm**-1  Wavelength/nm        FC               HT              FCHT
   0.11045000E+05   0.90538837E+03   0.32538850E-05   0.12929806E-04   0.16183691E-04
   0.11050000E+05   0.90497869E+03   0.32567349E-05   0.12936576E-04   0.16193311E-04
   0.11055000E+05   0.90456939E+03   0.32595870E-05   0.12943348E-04   0.16202935E-04
   0.11060000E+05   0.90416045E+03   0.32624412E-05   0.12950121E-04   0.16212563E-04
   0.11065000E+05   0.90375188E+03   0.32652976E-05   0.12956896E-04   0.16222194E-04
   0.11070000E+05   0.90334368E+03   0.32681560E-05   0.12963672E-04   0.16231828E-04
   0.11075000E+05   0.90293585E+03   0.32710166E-05   0.12970450E-04   0.16241466E-04
   0.11080000E+05   0.90252839E+03   0.32738793E-05   0.12977228E-04   0.16251108E-04
   0.11085000E+05   0.90212130E+03   0.32767442E-05   0.12984009E-04   0.16260753E-04
   0.11090000E+05   0.90171457E+03   0.32796112E-05   0.12990790E-04   0.16270402E-04
   0.11095000E+05   0.90130821E+03   0.32824803E-05   0.12997573E-04   0.16280054E-04
   0.11100000E+05   0.90090221E+03   0.32853516E-05   0.13004358E-04   0.16289709E-04
   0.11105000E+05   0.90049658E+03   0.32882250E-05   0.13011144E-04   0.16299369E-04
   0.11110000E+05   0.90009132E+03   0.32911006E-05   0.13017931E-04   0.16309031E-04
   0.11115000E+05   0.89968642E+03   0.32939783E-05   0.13024720E-04   0.16318698E-04
   0.11120000E+05   0.89928189E+03   0.32968582E-05   0.13031510E-04   0.16328368E-04
   0.11125000E+05   0.89887771E+03   0.32997402E-05   0.13038301E-04   0.16338041E-04
   0.11130000E+05   0.89847391E+03   0.33026244E-05   0.13045094E-04   0.16347718E-04
   0.11135000E+05   0.89807046E+03   0.33055107E-05   0.13051888E-04   0.16357399E-04
   0.11140000E+05   0.89766738E+03   0.33083992E-05   0.13058684E-04   0.16367083E-04
   0.11145000E+05   0.89726465E+03   0.33112898E-05   0.13065481E-04   0.16376771E-04
   0.11150000E+05   0.89686229E+03   0.33141826E-05   0.13072279E-04   0.16386462E-04
   0.11155000E+05   0.89646029E+03   0.33170776E-05   0.13079079E-04   0.16396157E-04
   0.11160000E+05   0.89605865E+03   0.33199747E-05   0.13085881E-04   0.16405855E-04
   0.11165000E+05   0.89565737E+03   0.33228740E-05   0.13092683E-04   0.16415557E-04
   0.11170000E+05   0.89525645E+03   0.33257754E-05   0.13099488E-04   0.16425263E-04
   0.11175000E+05   0.89485589E+03   0.33286791E-05   0.13106293E-04   0.16434972E-04
   0.11180000E+05   0.89445569E+03   0.33315849E-05   0.13113100E-04   0.16444685E-04
   0.11185000E+05   0.89405584E+03   0.33344928E-05   0.13119909E-04   0.16454401E-04
   0.11190000E+05   0.89365635E+03   0.33374030E-05   0.13126718E-04   0.16464121E-04
   0.11195000E+05   0.89325722E+03   0.33403153E-05   0.13133530E-04   0.16473845E-04
   0.11200000E+05   0.89285844E+03   0.33432298E-05   0.13140342E-04   0.16483572E-04
   0.11205000E+05   0.89246002E+03   0.33461465E-05   0.13147156E-04   0.16493303E-04
   0.11210000E+05   0.89206196E+03   0.33490654E-05   0.13153972E-04   0.16503037E-04
   0.11215000E+05   0.89166425E+03   0.33519865E-05   0.13160789E-04   0.16512775E-04
   0.11220000E+05   0.89126690E+03   0.33549098E-05   0.13167607E-04   0.16522517E-04
   0.11225000E+05   0.89086990E+03   0.33578352E-05   0.13174427E-04   0.16532262E-04
   0.11230000E+05   0.89047325E+03   0.33607628E-05   0.13181248E-04   0.16542011E-04
   0.11235000E+05   0.89007695E+03   0.33636927E-05   0.13188071E-04   0.16551764E-04
   0.11240000E+05   0.88968101E+03   0.33666247E-05   0.13194895E-04   0.16561520E-04
   0.11245000E+05   0.88928542E+03   0.33695589E-05   0.13201721E-04   0.16571280E-04
   0.11250000E+05   0.88889018E+03   0.33724954E-05   0.13208548E-04   0.16581043E-04
   0.11255000E+05   0.88849530E+03   0.33754340E-05   0.13215376E-04   0.16590810E-04
   0.11260000E+05   0.88810076E+03   0.33783748E-05   0.13222206E-04   0.16600581E-04
